acceptedTaxonKey,accepetedTaxonName,TropicosNameID,FullNameWithAuthors,taxonRank,id_name_APD,taxonid_IUCN,redlistCategory,redlistCriteria,yearPublished,EOO,AOO,elevation_upper,elevation_lower,assessmentDate,assessor,reviewer,populationTrend
1754,Crudia harmsiana,13051896,Crudia harmsiana De Wild.,Species,177389,137523873,LC,NA,2021,1243228,188,350,0,30/05/2019,"Kamau, P., Simo-Droissart, M. & Tack, W.","StÈvart, T. & Gereau, R.E.",Decreasing
1755,Crudia harmsiana var. velutina,100490384,Crudia harmsiana var. velutina J. Léonard,Variety,,137523989,LC,NA,2021,1099130,84,350,0,30/05/2019,"Kamau, P., Simo-Droissart, M. & Tack, W.","StÈvart, T. & Gereau, R.E.",Decreasing
1756,Crudia klainei,13051904,Crudia klainei Pierre & De Wild.,Species,70161,144270361,LC,NA,2019,973448.49,176.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
1757,Crudia ledermannii,13051892,Crudia ledermannii Harms,Species,70166,204799148,LC,,2022,205257,80,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1758,Crudia letouzeyi,100317789,Crudia letouzeyi Breteler & Nguema,Species,224502,173500759,VU,B2ab(iii),2021,166634.2,28,1000,100,10/11/2020,"Simo-Droissart, M., Texier, N. & StÈvart, T.","Andriamahefarivo, L., Bidault, E., Ikabanga, D.U., Lachenaud, O. & Paradis, A.-H.",Unknown
1759,Crudia zenkeri,13051898,Crudia zenkeri Harms,Species,70168,204809677,LC,,2022,62147,160,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1761,Cryptosepalum congolanum,13051339,Cryptosepalum congolanum J. Léonard,Species,70204,204799076,LC,,2022,788159,112,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1762,Cryptosepalum pellegrinianum,13051344,Cryptosepalum pellegrinianum J. Léonard,Species,70210,173500774,LC,NA,2021,498491.7,NA,690,30,12/04/2021,"Simo-Droissart, M., Texier, N., Lachenaud, O. & StÈvart, T.","Hills, R.",Unknown
1763,Cryptosepalum staudtii,13051319,Cryptosepalum staudtii Harms,Species,70211,173500809,NT,NA,2021,203833.3,76,580,50,11/03/2021,"Simo-Droissart, M., Bidault, E., Bouka, D.U.G., Boupoya, A., Engone Obiang, N., Ikabanga, D.U., Mboma, R., Paradis, A.-H., Texier, N. & StÈvart, T.","Hills, R.",Unknown
1765,Ctenolophon englerianus,18700173,Ctenolophon englerianus Mildbr.,Species,12079,61990598,NT,NA,2021,201839-325472,68-2000,100,0,08/09/2020,"Hills, R.","StÈvart, T.",Decreasing
